no,date,red1,red2,red3,red4,red5,blue1,blue2
13028,20130313,13,19,28,30,34,08,12
13029,20130316,05,07,17,25,26,04,10
13030,20130318,03,05,09,10,28,05,07
13031,20130320,12,17,18,26,32,10,11
13032,20130323,12,27,28,33,35,01,08
13033,20130325,12,18,22,28,31,01,11
13034,20130327,01,03,11,19,29,04,08
13035,20130330,05,14,28,32,34,07,08
13036,20130401,08,12,32,33,35,03,05
13037,20130403,02,26,31,32,34,06,08
13038,20130406,01,19,24,25,26,07,09
13039,20130408,06,23,30,33,35,07,10
13040,20130410,16,17,22,26,35,03,10
13041,20130413,03,13,14,15,34,05,08
13042,20130415,02,06,22,23,33,01,06
13043,20130417,07,13,25,34,35,07,09
13044,20130420,07,11,13,18,28,05,10
13045,20130422,08,11,12,21,25,02,07
13046,20130424,15,16,19,25,32,05,11
13047,20130427,12,20,28,30,35,03,11
13048,20130429,10,11,23,32,33,01,04
13049,20130501,18,22,25,31,32,04,06
13050,20130504,14,22,30,32,33,07,08
13051,20130506,05,08,15,18,33,07,08
13052,20130508,01,02,10,29,31,01,10
13053,20130511,13,31,33,34,35,05,07
13054,20130513,05,08,21,30,32,01,08
13055,20130515,04,05,22,23,24,03,09
13056,20130518,11,22,30,32,35,03,04
13057,20130520,07,15,27,33,35,07,10
13058,20130522,20,21,27,31,35,07,11
13059,20130525,03,08,11,24,27,07,12
13060,20130527,15,25,26,32,35,05,10
13061,20130529,01,14,18,21,32,05,10
13062,20130601,01,05,08,09,12,09,12
13063,20130603,03,05,11,27,28,05,06
13064,20130605,21,24,26,28,32,01,03
13065,20130608,09,28,31,34,35,02,09
13066,20130610,06,07,13,33,34,02,11
13067,20130612,02,03,05,08,29,10,12
13068,20130615,10,17,27,34,35,05,07
13069,20130617,06,12,13,16,30,07,12
13070,20130619,09,12,18,21,29,01,08
13071,20130622,13,19,26,27,28,03,11
13072,20130624,12,27,28,33,35,03,05
13073,20130626,03,05,23,27,31,02,06
13074,20130629,06,14,20,24,32,01,07
13075,20130701,01,11,13,19,35,07,08
13076,20130703,13,15,16,26,27,09,10
13077,20130706,24,26,30,32,35,06,12
13078,20130708,02,07,23,31,33,02,08
13079,20130710,09,10,17,21,34,01,07
13080,20130713,06,21,23,27,31,04,06
13081,20130715,07,09,15,17,23,02,07
13082,20130717,03,09,25,26,33,03,12
13083,20130720,26,29,30,32,35,04,10
13084,20130722,08,22,26,29,35,01,05
13085,20130724,08,19,23,27,32,03,05
13086,20130727,09,16,26,29,31,06,09
13087,20130729,09,12,22,32,34,02,04
13088,20130731,03,05,08,33,35,01,03
13089,20130803,06,07,23,24,29,04,11
13090,20130805,02,26,30,31,33,11,12
13091,20130807,04,09,28,34,35,02,08
13092,20130810,07,10,21,27,33,03,09
13093,20130812,01,05,17,18,26,05,07
13094,20130814,03,28,33,34,35,06,09
13095,20130817,03,17,28,30,33,01,10
13096,20130819,17,19,20,22,26,06,08
13097,20130821,07,08,13,17,32,03,08
13098,20130824,02,06,16,29,34,10,11
13099,20130826,04,11,28,30,33,05,12
13100,20130828,09,12,24,26,30,05,09
13101,20130831,04,09,13,15,32,02,09
13102,20130902,06,12,15,19,26,02,11
13103,20130904,05,08,13,16,31,03,09
13104,20130907,02,05,11,27,29,01,11
13105,20130909,07,13,27,30,34,01,12
13106,20130911,06,07,12,13,27,03,12
13107,20130914,07,13,14,18,25,05,12
13108,20130916,05,10,13,15,18,02,11
13109,20130918,13,20,26,29,32,02,06
13110,20130921,07,16,18,32,33,02,07
13111,20130923,07,12,13,20,27,01,03
13112,20130925,02,10,20,22,29,05,12
13113,20130928,19,21,23,28,30,08,12
13114,20130930,06,17,21,23,33,01,09
13115,20131002,05,16,29,32,34,04,11
13116,20131005,13,22,23,30,33,09,11
13117,20131007,05,16,23,25,33,07,12
13118,20131009,04,06,11,20,31,01,05
13119,20131012,01,02,16,23,35,01,11
13120,20131014,06,14,15,22,26,03,11
13121,20131016,03,18,19,20,24,03,12
13122,20131019,15,17,20,24,35,04,12
13123,20131021,02,09,10,33,34,05,12
13124,20131023,05,07,18,21,32,10,11
13125,20131026,04,08,14,23,28,04,08
13126,20131028,09,10,15,18,30,03,06
13127,20131030,03,14,16,19,32,05,10
13128,20131102,11,13,27,33,35,01,02
13129,20131104,11,23,29,30,33,01,04
13130,20131106,08,09,15,19,30,06,09
13131,20131109,12,15,29,30,31,04,12
13132,20131111,23,26,28,31,34,02,10
13133,20131113,02,08,10,16,17,09,12
13134,20131116,02,13,19,23,32,02,09
13135,20131118,04,13,19,25,26,07,12
13136,20131120,05,11,15,25,28,05,11
13137,20131123,04,12,32,33,34,06,08
13138,20131125,03,08,13,17,24,07,09
13139,20131127,05,06,18,20,31,06,07
13140,20131130,01,12,17,26,28,01,06
13141,20131202,05,15,18,25,31,08,10
13142,20131204,06,11,25,28,29,04,12
13143,20131207,03,08,14,21,31,06,08
13144,20131209,03,20,21,23,35,02,08
13145,20131211,02,13,15,18,20,02,11
13146,20131214,06,07,15,25,31,01,09
13147,20131216,03,09,22,24,25,05,09
13148,20131218,02,05,09,29,32,03,07
13149,20131221,06,07,08,09,13,05,07
13150,20131223,06,07,14,18,22,08,11
13151,20131225,02,13,21,27,30,03,04
13152,20131228,09,12,14,18,19,03,09
13153,20131230,04,05,16,17,30,03,09
14001,20140101,05,13,20,23,29,08,11
14002,20140104,01,12,21,24,29,01,07
14003,20140106,07,11,13,21,33,05,06
14004,20140108,07,10,19,27,28,09,12
14005,20140111,15,17,18,29,33,04,08
14006,20140113,01,04,07,16,35,06,08
14007,20140115,08,11,14,21,32,03,11
14008,20140118,11,13,20,28,35,01,05
14009,20140120,10,18,25,29,33,07,08
14010,20140122,05,10,20,26,27,01,03
14011,20140125,04,06,14,24,35,07,12
14012,20140127,09,20,21,23,29,05,07
14013,20140129,10,11,13,22,28,04,12
14014,20140208,01,09,11,27,29,03,11
14015,20140210,04,06,18,20,30,05,07
14016,20140212,04,06,13,24,34,04,09
14017,20140215,05,10,11,23,34,01,10
14018,20140217,08,09,12,28,34,02,12
14019,20140219,07,12,22,29,32,11,12
14020,20140222,01,14,17,30,35,06,07
14021,20140224,06,10,17,23,24,03,09
14022,20140226,03,06,10,16,25,10,11
14023,20140301,04,13,15,29,33,05,09
14024,20140303,07,11,15,31,32,06,11
14025,20140305,19,20,27,32,34,06,08
14026,20140308,05,10,12,15,26,04,08
14027,20140310,09,10,24,28,29,10,12
14028,20140312,03,10,20,25,30,10,12
14029,20140315,03,21,22,23,35,05,09
14030,20140317,03,14,18,29,35,11,12
14031,20140319,06,15,27,32,33,03,04
14032,20140322,02,05,06,09,31,02,09
14033,20140324,01,07,08,28,29,04,08
14034,20140326,03,11,14,27,32,05,07
14035,20140329,09,12,14,28,29,03,10
14036,20140331,01,02,12,17,29,03,08
14037,20140402,03,04,08,19,34,02,04
14038,20140405,07,08,12,20,32,03,05
14039,20140407,02,05,11,15,20,08,11
14040,20140409,12,15,21,30,33,02,08
14041,20140412,05,07,11,15,18,05,12
14042,20140414,16,21,25,27,35,06,11
14043,20140416,01,11,23,29,30,01,12
14044,20140419,22,23,25,27,35,03,11
14045,20140421,06,10,12,16,30,02,11
14046,20140423,03,15,18,21,26,01,06
14047,20140426,06,17,18,30,34,06,12
14048,20140428,01,02,05,15,35,01,11
14049,20140430,03,15,17,22,31,03,05
14050,20140503,10,18,27,28,35,01,06
14051,20140505,01,07,11,29,30,03,11
14052,20140507,14,19,21,24,30,02,07
14053,20140510,02,11,17,27,30,03,04
14054,20140512,02,03,20,25,34,01,12
14055,20140514,04,23,26,27,35,10,11
14056,20140517,12,18,28,29,35,07,08
14057,20140519,08,10,20,27,33,01,09
14058,20140521,09,15,22,24,26,02,07
14059,20140524,07,15,17,25,29,04,11
14060,20140526,12,22,29,30,34,05,11
14061,20140528,04,11,17,20,29,06,10
14062,20140531,04,07,17,24,25,02,04
14063,20140602,11,17,21,23,34,03,04
14064,20140604,08,15,33,34,35,01,08
14065,20140607,07,12,19,31,33,07,12
14066,20140609,08,14,16,20,31,03,11
14067,20140611,03,18,23,24,31,03,07
14068,20140614,05,15,24,29,35,05,06
14069,20140616,16,22,27,29,31,02,09
14070,20140618,01,02,07,10,32,04,12
14071,20140621,04,14,15,22,23,01,07
14072,20140623,17,19,22,24,30,02,09
14073,20140625,04,05,07,13,35,05,06
14074,20140628,06,11,22,27,30,05,11
14075,20140630,05,07,29,32,35,04,10
14076,20140702,05,10,19,31,32,09,10
14077,20140705,09,16,26,31,32,01,05
14078,20140707,10,15,16,22,28,04,05
14079,20140709,09,10,20,31,32,06,10
14080,20140712,17,20,23,25,27,03,10
14081,20140714,03,05,08,10,25,09,12
14082,20140716,01,08,18,23,25,08,12
14083,20140719,18,20,24,33,35,05,10
14084,20140721,02,07,09,11,28,05,09
14085,20140723,06,12,13,25,29,11,12
14086,20140726,06,08,27,29,35,03,09
14087,20140728,04,07,31,33,35,09,10
14088,20140730,07,13,20,25,26,08,11
14089,20140802,02,08,12,29,30,07,12
14090,20140804,02,03,20,23,28,06,08
14091,20140806,10,16,18,29,32,02,07
14092,20140809,02,18,27,30,32,05,11
14093,20140811,03,08,30,32,34,09,11
14094,20140813,13,14,24,25,34,04,07
14095,20140816,06,22,30,31,34,05,06
14096,20140818,03,07,21,23,31,05,10
14097,20140820,03,15,20,21,23,07,09
14098,20140823,16,18,22,25,35,03,10
14099,20140825,15,21,22,23,33,01,07
14100,20140827,02,04,08,12,35,01,07
14101,20140830,09,10,12,17,28,03,11
14102,20140901,01,07,14,19,20,03,12
14103,20140903,14,20,23,25,26,10,12
14104,20140906,07,13,14,28,32,04,11
14105,20140908,04,10,26,29,32,04,08
14106,20140910,05,09,11,20,22,05,11
14107,20140913,05,13,14,21,34,08,10
14108,20140915,01,02,13,23,35,09,12
14109,20140917,15,18,20,21,23,01,02
14110,20140920,09,18,19,22,24,08,11
14111,20140922,11,16,18,20,29,03,04
14112,20140924,03,05,14,18,32,02,10
14113,20140927,02,13,17,19,23,01,06
14114,20140929,03,16,24,30,33,05,08
14115,20141001,01,05,26,29,30,02,10
14116,20141004,06,13,15,24,27,04,05
14117,20141006,03,14,17,18,33,06,09
14118,20141008,02,03,23,24,26,05,11
14119,20141011,04,08,09,13,18,08,12
14120,20141013,01,04,06,18,33,05,11
14121,20141015,13,16,18,22,32,08,10
14122,20141018,03,10,25,26,35,01,07
14123,20141020,01,09,12,22,25,02,09
14124,20141022,01,03,28,29,35,08,12
14125,20141025,12,15,19,23,31,04,10
14126,20141027,02,09,22,30,34,09,10
14127,20141029,02,04,06,15,19,02,11
14128,20141101,02,04,16,22,34,08,11
14129,20141103,07,22,28,30,32,05,06
14130,20141105,02,18,31,32,33,05,07
14131,20141108,03,16,19,23,27,03,07
14132,20141110,01,03,04,19,32,01,07
14133,20141112,02,08,12,14,18,04,12
14134,20141115,02,05,07,11,32,09,12
14135,20141117,20,26,28,30,35,09,12
14136,20141119,04,18,20,34,35,07,11
14137,20141122,02,11,16,22,34,02,05
14138,20141124,01,07,29,32,34,09,12
14139,20141126,03,05,07,15,34,01,10
14140,20141129,01,19,20,25,34,07,12
14141,20141201,04,17,20,26,29,05,08
14142,20141203,18,21,25,28,30,04,06
14143,20141206,01,11,14,18,25,06,10
14144,20141208,01,21,24,25,35,04,11
14145,20141210,15,19,22,24,26,10,11
14146,20141213,02,16,23,24,28,10,11
14147,20141215,05,09,14,26,34,02,09
14148,20141217,03,09,10,11,20,07,09
14149,20141220,02,13,19,26,35,01,05
14150,20141222,19,21,30,33,35,05,07
14151,20141224,03,08,26,31,32,08,12
14152,20141227,05,12,18,24,33,01,05
14153,20141229,01,08,13,24,32,05,10
14154,20141231,05,12,17,23,28,02,09
15001,20150103,08,09,19,27,30,06,07
15002,20150105,03,14,20,26,32,06,10
15003,20150107,12,19,27,28,34,01,12
15004,20150110,03,12,14,18,28,05,06
15005,20150112,11,14,15,18,19,07,08
15006,20150114,06,08,30,32,33,03,07
15007,20150117,02,07,08,14,31,04,08
15008,20150119,07,10,11,15,17,03,10
15009,20150121,17,22,26,27,33,06,10
15010,20150124,02,06,17,30,35,02,07
15011,20150126,04,13,22,25,30,01,06
15012,20150128,03,04,06,11,31,05,09
15013,20150131,11,15,25,28,35,07,10
15014,20150202,08,16,25,29,35,03,10
15015,20150204,01,05,13,17,32,04,11
15016,20150207,06,07,16,20,34,09,11
15017,20150209,07,13,16,17,29,01,07
15018,20150211,04,07,10,23,31,03,07
15019,20150214,02,08,16,22,24,01,03
15020,20150216,11,26,28,29,32,01,04
15021,20150225,22,23,24,26,31,05,06
15022,20150228,09,11,14,15,26,11,12
15023,20150302,06,09,11,12,22,03,11
15024,20150304,02,06,08,16,34,03,04
15025,20150307,07,10,20,22,27,10,11
15026,20150309,11,13,14,15,22,02,08
15027,20150311,05,21,22,25,28,03,10
15028,20150314,03,09,28,32,33,09,10
15029,20150316,07,10,19,30,35,03,05
15030,20150318,09,18,19,26,31,02,05
15031,20150321,07,21,29,32,33,04,12
15032,20150323,06,21,25,27,30,07,11
15033,20150325,03,17,22,26,28,03,07
15034,20150328,04,08,15,18,26,05,09
15035,20150330,22,24,29,30,35,01,10
15036,20150401,14,18,20,23,24,04,08
15037,20150404,10,16,21,28,31,07,08
15038,20150406,12,19,22,31,35,07,08
15039,20150408,03,06,07,16,25,01,06
15040,20150411,02,09,10,23,35,09,12
15041,20150413,01,11,21,23,28,01,10
15042,20150415,03,07,12,17,24,02,11
15043,20150418,02,20,22,25,29,02,07
15044,20150420,16,18,27,31,33,01,03
15045,20150422,08,09,22,29,30,08,12
15046,20150425,05,07,10,22,26,04,10
15047,20150427,01,02,17,23,31,05,12
15048,20150429,10,11,22,24,33,02,09
15049,20150502,08,09,11,15,22,08,10
15050,20150504,06,07,10,20,28,02,07
15051,20150506,01,02,11,16,21,01,05
15052,20150509,13,19,24,27,29,07,08
15053,20150511,08,25,28,29,32,04,07
15054,20150513,02,09,15,24,34,03,09
15055,20150516,06,11,14,20,30,05,10
15056,20150518,06,12,19,26,35,03,10
15057,20150520,01,05,07,14,26,04,06
15058,20150523,10,14,20,27,30,07,12
15059,20150525,07,09,19,23,32,01,03
15060,20150527,16,24,25,26,33,04,11
15061,20150530,06,07,08,16,22,02,10
15062,20150601,06,07,13,14,15,01,04
15063,20150603,01,04,06,34,35,02,04
15064,20150606,02,08,20,28,31,07,10
15065,20150608,04,05,07,13,35,08,11
15066,20150610,01,03,07,13,29,02,10
15067,20150613,04,10,18,24,27,04,11
15068,20150615,02,03,20,31,35,04,08
15069,20150617,02,09,11,22,25,01,07
15070,20150620,03,09,12,17,18,04,12
15071,20150622,04,06,13,16,34,04,10
15072,20150624,19,20,21,31,33,09,10
15073,20150627,09,26,27,30,34,01,06
15074,20150629,01,12,21,27,33,04,09
15075,20150701,13,14,26,27,33,10,12
15076,20150704,03,19,21,31,34,05,12
15077,20150706,01,16,17,22,28,02,09
15078,20150708,19,24,26,28,33,01,02
15079,20150711,01,09,17,23,24,04,05
15080,20150713,14,20,29,30,32,03,08
15081,20150715,03,04,10,13,17,05,09
15082,20150718,08,15,28,31,33,03,06
15083,20150720,14,16,19,25,29,10,12
15084,20150722,10,20,21,32,34,06,07
15085,20150725,02,03,04,06,16,03,12
15086,20150727,05,09,11,15,32,04,09
15087,20150729,02,05,15,17,22,01,11
15088,20150801,05,15,28,31,34,11,12
15089,20150803,05,12,18,20,27,10,12
15090,20150805,06,09,11,17,21,06,08
15091,20150808,02,07,28,29,30,03,07
15092,20150810,02,14,21,27,34,05,08
15093,20150812,16,17,25,26,27,02,04
15094,20150815,02,03,10,11,29,03,07
15095,20150817,08,14,26,34,35,05,10
15096,20150819,03,09,12,18,21,02,06
15097,20150822,04,16,17,26,27,01,04
15098,20150824,09,14,21,27,33,06,09
15099,20150826,09,12,14,22,25,05,10
15100,20150829,09,15,18,23,32,05,07
15101,20150831,06,12,17,18,32,07,12
15102,20150902,11,14,15,33,34,03,12
15103,20150905,07,09,15,25,34,04,10
15104,20150907,16,19,25,30,34,04,09
15105,20150909,08,09,15,21,27,05,09
15106,20150912,02,11,13,22,30,02,03
15107,20150914,03,23,25,28,29,06,07
15108,20150916,01,13,16,26,31,07,12
15109,20150919,01,06,11,22,31,03,12
15110,20150921,02,07,10,22,30,07,11
15111,20150923,07,08,16,24,28,03,10
15112,20150926,04,05,15,19,28,04,11
15113,20150928,01,14,21,29,33,02,10
15114,20150930,09,18,24,31,34,02,10
15115,20151003,08,12,13,14,16,03,09
15116,20151005,07,10,19,24,33,03,07
15117,20151007,06,17,20,30,33,10,11
15118,20151010,03,07,20,24,31,04,09
15119,20151012,01,08,12,16,21,06,11
15120,20151014,01,09,15,24,32,05,10
15121,20151017,02,04,17,27,28,04,06
15122,20151019,11,13,15,26,35,06,11
15123,20151021,04,15,27,29,30,02,10
15124,20151024,04,06,12,31,32,03,06
15125,20151026,02,03,15,17,28,08,10
15126,20151028,04,05,08,09,21,03,06
15127,20151031,09,11,14,19,30,03,08
15128,20151102,10,12,23,30,32,03,04
15129,20151104,01,06,23,25,29,03,09
15130,20151107,17,25,31,32,34,02,12
15131,20151109,11,17,19,20,27,02,03
15132,20151111,03,08,14,18,27,01,05
15133,20151114,03,07,08,25,30,04,08
15134,20151116,01,02,06,15,35,04,07
15135,20151118,05,16,20,25,29,06,08
15136,20151121,05,20,23,29,32,02,10
15137,20151123,14,17,21,23,26,08,11
15138,20151125,01,16,20,29,32,04,07
15139,20151128,02,03,05,25,32,05,07
15140,20151130,01,11,15,26,35,06,11
15141,20151202,02,04,15,19,31,02,03
15142,20151205,12,14,22,26,30,03,06
15143,20151207,09,20,31,33,35,10,11
15144,20151209,01,09,24,26,29,06,11
15145,20151212,06,07,20,29,32,11,12
15146,20151214,04,15,19,27,31,04,11
15147,20151216,01,02,13,18,19,08,10
15148,20151219,08,11,27,31,33,08,09
15149,20151221,04,06,10,12,28,02,08
15150,20151223,04,13,18,25,33,03,07
15151,20151226,15,16,18,30,35,01,07
15152,20151228,04,05,22,29,35,02,11
15153,20151230,01,07,22,27,33,02,11
16001,20160102,01,07,19,20,30,05,10
16002,20160104,07,12,18,25,35,07,09
16003,20160106,04,12,17,22,26,06,07
16004,20160109,10,20,23,32,35,09,10
16005,20160111,06,09,12,15,20,08,11
16006,20160113,14,16,17,22,24,02,09
16007,20160116,02,05,14,32,35,01,03
16008,20160118,05,12,31,34,35,04,05
16009,20160120,05,08,10,17,20,02,12
16010,20160123,12,13,15,16,28,02,05
16011,20160125,02,08,10,15,23,05,10
16012,20160127,05,07,11,23,28,03,12
16013,20160130,03,21,23,31,35,02,11
16014,20160201,06,08,21,24,27,02,10
16015,20160203,01,04,10,13,30,03,09
16016,20160206,03,10,22,29,32,02,05
16017,20160215,11,18,24,28,29,05,10
16018,20160217,05,10,13,27,33,08,11
16019,20160220,04,11,15,20,26,08,09
16020,20160222,01,16,22,29,30,02,09
16021,20160224,01,04,09,10,35,09,11
16022,20160227,04,18,21,30,35,02,11
16023,20160229,04,09,14,25,27,06,11
16024,20160302,01,02,11,15,18,04,08
16025,20160305,03,06,13,23,24,07,10
16026,20160307,02,06,29,30,34,01,07
16027,20160309,06,11,13,15,28,02,06
16028,20160312,13,18,20,23,31,03,06
16029,20160314,20,26,27,29,32,05,12
16030,20160316,10,19,21,29,33,04,06
16031,20160319,03,14,24,27,29,04,11
16032,20160321,05,09,14,20,33,05,12
16033,20160323,03,14,15,31,35,09,10
16034,20160326,14,18,31,32,35,09,10
16035,20160328,17,22,24,25,29,09,12
16036,20160330,07,15,26,30,31,03,06
16037,20160402,03,05,13,24,34,03,05
16038,20160404,03,07,09,15,33,05,12
16039,20160406,01,08,16,22,28,04,05
16040,20160409,20,22,29,30,35,01,06
16041,20160411,12,23,24,27,34,03,06
16042,20160413,02,06,08,19,24,01,06
16043,20160416,01,09,16,33,34,09,12
16044,20160418,01,06,10,20,31,05,11
16045,20160420,07,11,25,30,33,02,08
16046,20160423,03,19,22,32,34,08,12
16047,20160425,02,03,23,29,32,05,09
16048,20160427,04,12,17,25,27,04,10
16049,20160430,03,04,05,27,33,04,09
16050,20160502,07,17,21,29,35,04,05
16051,20160504,16,21,23,24,32,07,08
16052,20160507,08,14,19,20,33,10,11
16053,20160509,04,13,15,30,35,03,05
16054,20160511,02,05,09,21,30,06,07
16055,20160514,06,21,27,30,34,04,09
16056,20160516,10,12,14,31,35,04,05
16057,20160518,08,17,19,23,30,03,08
16058,20160521,02,15,17,23,28,05,09
16059,20160523,02,10,27,28,33,05,07
16060,20160525,02,06,22,27,34,08,11
16061,20160528,09,15,17,21,23,07,12
16062,20160530,02,10,14,15,35,01,09
16063,20160601,08,12,22,27,35,05,09
16064,20160604,01,02,10,18,35,05,11
16065,20160606,01,09,18,22,24,11,12
16066,20160608,10,28,29,31,33,05,11
16067,20160611,02,08,11,13,19,02,08
16068,20160613,05,07,22,26,34,07,12
16069,20160615,14,17,19,23,30,02,09
16070,20160618,02,09,13,19,23,05,07
16071,20160620,08,15,19,20,33,07,12
16072,20160622,16,20,24,26,31,04,09
16073,20160625,07,14,17,24,27,08,10
16074,20160627,01,05,07,11,14,03,08
16075,20160629,03,07,17,22,31,08,12
16076,20160702,03,08,10,17,31,05,06
16077,20160704,09,11,14,16,35,02,05
16078,20160706,07,18,29,31,35,05,11
16079,20160709,07,14,15,20,27,05,10
16080,20160711,15,20,29,30,33,07,12
16081,20160713,06,07,18,21,33,03,08
16082,20160716,03,08,23,28,29,02,07
16083,20160718,01,05,09,33,35,01,05
16084,20160720,08,12,15,26,35,01,08
16085,20160723,14,15,27,31,32,01,07
16086,20160725,03,05,22,25,30,07,09
16087,20160727,03,16,17,23,25,07,09
16088,20160730,04,06,17,21,30,06,11
16089,20160801,07,14,17,28,34,07,10
16090,20160803,04,06,08,28,32,07,12
16091,20160806,08,13,17,21,22,02,08
16092,20160808,02,13,31,33,34,07,11
16093,20160810,01,08,14,30,35,06,07
16094,20160813,01,14,16,17,18,05,07
16095,20160815,08,12,18,19,21,03,06
16096,20160817,01,06,08,12,21,05,10
16097,20160820,06,08,18,31,33,10,12
16098,20160822,08,09,11,20,29,04,05
16099,20160824,03,04,12,14,27,01,05
16100,20160827,08,12,19,26,30,02,12
16101,20160829,04,06,28,33,35,07,12
16102,20160831,03,05,06,34,35,03,12
16103,20160903,05,14,20,23,29,03,11
16104,20160905,01,20,22,23,30,06,07
16105,20160907,08,11,31,34,35,01,02
16106,20160910,03,21,30,33,35,01,04
16107,20160912,02,06,19,24,26,04,06
16108,20160914,10,17,22,23,25,07,09
16109,20160917,03,25,28,31,34,11,12
16110,20160919,07,20,21,23,30,07,10
16111,20160921,04,09,22,26,27,02,12
16112,20160924,07,22,23,31,32,04,05
16113,20160926,10,11,17,30,34,03,12
16114,20160928,16,17,20,32,33,03,07
16115,20161001,01,04,15,31,34,02,11
16116,20161003,04,06,08,19,34,10,12
16117,20161005,03,09,14,16,23,02,09
16118,20161008,12,15,18,24,29,03,11
16119,20161010,02,03,09,21,22,05,10
16120,20161012,03,10,20,32,34,04,07
16121,20161015,04,05,08,15,20,01,06
16122,20161017,01,03,12,14,29,02,06
16123,20161019,04,05,13,20,32,01,10
16124,20161022,04,13,24,26,29,08,11
16125,20161024,06,07,08,28,30,01,02
16126,20161026,11,13,16,19,24,06,08
16127,20161029,01,05,15,24,26,09,10
16128,20161031,17,20,22,30,33,07,08
16129,20161102,07,08,19,30,35,08,09
16130,20161105,11,23,32,33,34,01,12
16131,20161107,06,13,25,28,30,02,07
16132,20161109,04,18,19,22,35,01,02
16133,20161112,01,04,05,23,28,05,09
16134,20161114,01,03,31,32,34,02,07
16135,20161116,01,10,12,18,35,01,12
16136,20161119,05,06,07,19,23,04,11
16137,20161121,07,20,23,29,34,02,10
16138,20161123,12,13,16,29,35,05,11
16139,20161126,13,21,30,31,35,01,08
16140,20161128,12,16,23,29,34,04,11
16141,20161130,02,06,07,19,28,11,12
16142,20161203,01,06,17,23,26,06,12
16143,20161205,04,06,22,27,31,06,07
16144,20161207,04,05,13,22,31,05,10
16145,20161210,01,09,11,17,28,03,08
16146,20161212,21,22,25,29,34,01,11
16147,20161214,07,19,20,28,30,04,12
16148,20161217,05,14,15,23,25,06,08
16149,20161219,01,02,03,12,33,04,09
16150,20161221,01,10,18,24,29,07,10
16151,20161224,04,07,11,14,21,05,12
16152,20161226,08,17,22,24,30,05,11
16153,20161228,13,18,25,29,35,03,11
16154,20161231,06,16,17,21,29,04,06
17001,20170102,07,09,20,31,33,08,10
17002,20170104,07,12,14,31,34,09,11
17003,20170107,03,05,06,13,22,09,12
17004,20170109,05,08,11,28,31,06,07
17005,20170111,05,09,20,26,35,02,11
17006,20170114,04,06,23,32,33,05,06
17007,20170116,08,11,17,25,27,02,04
17008,20170118,03,04,09,25,32,02,04
17009,20170121,05,06,08,12,22,03,04
17010,20170123,04,10,13,18,35,01,02
17011,20170125,05,15,21,29,34,06,09
17012,20170204,04,05,24,26,35,07,12
17013,20170206,05,12,17,30,34,11,12
17014,20170208,04,08,15,24,25,02,05
17015,20170211,01,07,19,27,34,01,02
17016,20170213,03,13,28,30,33,09,10
17017,20170215,04,19,24,26,29,04,06
17018,20170218,06,07,10,17,23,01,09
17019,20170220,02,06,14,23,25,02,10
17020,20170222,16,21,24,27,28,04,07
17021,20170225,01,15,17,20,26,06,08
17022,20170227,02,03,09,17,24,06,12
17023,20170301,05,08,12,24,34,07,10
17024,20170304,21,23,29,32,35,11,12
17025,20170306,10,16,19,20,34,04,05
17026,20170308,10,14,19,25,32,02,07
17027,20170311,08,17,25,33,34,03,11
17028,20170313,06,18,22,23,33,09,11
17029,20170315,01,06,14,17,29,01,11
17030,20170318,21,22,24,29,34,05,06
17031,20170320,02,16,17,30,32,02,09
17032,20170322,02,13,14,18,29,03,09
17033,20170325,15,22,23,25,34,05,11
17034,20170327,06,12,21,26,29,02,11
17035,20170329,14,17,22,30,33,07,12
17036,20170401,01,04,09,18,33,02,05
17037,20170403,13,15,16,32,34,06,11
17038,20170405,04,05,13,18,27,03,09
17039,20170408,05,06,14,17,26,03,08
17040,20170410,04,06,10,23,29,09,11
17041,20170412,02,04,06,25,31,05,09
17042,20170415,02,17,31,33,34,01,07
17043,20170417,06,13,22,25,35,09,12
17044,20170419,11,16,17,18,25,02,09
17045,20170422,01,08,11,21,35,09,12
17046,20170424,04,17,20,23,30,02,03
17047,20170426,15,19,32,33,34,09,12
17048,20170429,07,09,13,15,19,03,10
17049,20170501,09,12,14,22,31,05,08
17050,20170503,12,14,17,20,28,02,06
17051,20170506,14,17,18,22,29,10,11
17052,20170508,03,19,24,28,33,04,12
17053,20170510,06,19,20,22,26,01,11
17054,20170513,16,29,30,32,33,04,05
17055,20170515,19,20,22,30,33,03,09
17056,20170517,01,04,24,27,32,03,10
17057,20170520,12,16,19,23,24,02,05
17058,20170522,14,18,20,21,28,03,06
17059,20170524,08,11,13,15,17,03,10
17060,20170527,09,15,20,26,31,05,12
17061,20170529,10,19,23,25,30,02,04
17062,20170531,01,04,06,08,28,08,12
17063,20170603,18,21,22,24,29,05,11
17064,20170605,01,08,20,27,30,03,04
17065,20170607,05,11,12,19,28,05,12
17066,20170610,11,15,23,26,30,02,11
17067,20170612,10,17,18,32,35,10,11
17068,20170614,07,08,19,24,27,06,07
17069,20170617,10,16,20,23,32,08,11
17070,20170619,06,16,18,26,30,02,03
17071,20170621,01,04,11,14,33,05,07
17072,20170624,01,03,29,32,34,02,05
17073,20170626,07,18,28,31,33,01,02
17074,20170628,08,10,11,13,17,08,11
17075,20170701,05,11,16,18,35,01,06
17076,20170703,02,07,25,30,35,07,12
17077,20170705,01,03,04,25,31,06,09
17078,20170708,04,05,27,31,34,03,06
